Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","840","United States of America","5622","Import value","02112","Buffalo","2021","2021","1000 USD","65834","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5608","Import quantity","02112","Buffalo","2022","2022","An","14860","I","Imputed value",""
"TCL","Crops and livestock products","840","United States of America","5622","Import value","02112","Buffalo","2022","2022","1000 USD","71533","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5608","Import quantity","02112","Buffalo","2023","2023","An","21481","I","Imputed value",""
"TCL","Crops and livestock products","840","United States of America","5622","Import value","02112","Buffalo","2023","2023","1000 USD","82062","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5609","Import quantity","02151","Chickens","2019","2019","1000 An","1820","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5622","Import value","02151","Chickens","2019","2019","1000 USD","8380","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5609","Import quantity","02151","Chickens","2020","2020","1000 An","1799","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5622","Import value","02151","Chickens","2020","2020","1000 USD","7557","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5609","Import quantity","02151","Chickens","2021","2021","1000 An","2724","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5622","Import value","02151","Chickens","2021","2021","1000 USD","8367","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5609","Import quantity","02151","Chickens","2022","2022","1000 An","4021","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5622","Import value","02151","Chickens","2022","2022","1000 USD","13470","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5609","Import quantity","02151","Chickens","2023","2023","1000 An","2798","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5622","Import value","02151","Chickens","2023","2023","1000 USD","10438","A","Official figure",""
